,Rank,Country/Territory,Int$,Year
1,1,Liechtenstein,139100,2009est.
2,2,Qatar,124900,2017est.
3,3,Monaco,115700,2015est.
4,—,Macau,114400,2017est.
5,4,Luxembourg,109100,2017est.
6,—,Falkland Islands,96200,2012est.
7,5,Singapore,90500,2017est.
8,—,Bermuda,85700,2013est.
9,—,Isle of Man,84600,2014est.
10,6,Brunei,76700,2017est.
11,7,Ireland,72600,2017est.
12,8,Norway,70600,2017est.
13,9,Kuwait,69700,2017est.
14,10,United Arab Emirates,68200,2017est.
15,—,Sint Maarten,66800,2014est.
16,—,Gibraltar,61700,2014est.
17,11,Switzerland,61400,2017est.
18,—,Hong Kong,61000,2017est.
19,12,San Marino,59500,2017est.
20,13,United States,59500,2017est.
21,14,Saudi Arabia,55300,2017est.
22,15,Netherlands,53600,2017est.
23,—,Guernsey,52500,2014est.
24,16,Iceland,52100,2017est.
25,17,Bahrain,51800,2017est.
26,18,Sweden,51300,2017est.
27,19,Germany,50200,2017est.
28,20,Australia,49900,2017est.
29,21,Andorra,49900,2015est.
30,—,Taiwan,49800,2017est.
31,22,Denmark,49600,2017est.
32,—,Jersey,49500,2015est.
33,23,Austria,49200,2017est.
34,24,Canada,48100,2017est.
35,25,Belgium,46300,2017est.
36,26,Oman,45500,2017est.
37,27,Finland,44000,2017est.
38,—,Cayman Islands,43800,2004est.
39,28,France,43600,2017est.
40,29,United Kingdom,43600,2017est.
41,30,Japan,42700,2017est.
42,31,Malta,42500,2017est.
43,—,British Virgin Islands,42300,2010est.
44,—,European Union,40900,2017est.
45,—,Faroe Islands,40000,2014est.
46,32,South Korea,39400,2017est.
47,33,New Zealand,38900,2017est.
48,34,Spain,38300,2017est.
49,35,Italy,38100,2017est.
50,—,Greenland,37600,2015est.
51,—,Puerto Rico,37300,2017est.
52,36,Cyprus,36600,2017est.
53,37,Israel,36200,2017est.
54,—,U.S. Virgin Islands,36100,2013est.
55,38,Czech Republic,35200,2017est.
56,39,Equatorial Guinea,34900,2017est.
57,—,Saint Pierre and Miquelon,34900,2006est.
58,40,Slovenia,34100,2017est.
59,41,Slovakia,32900,2017est.
60,42,Lithuania,31900,2017est.
61,43,Estonia,31500,2017est.
62,44,Trinidad and Tobago,31200,2017est.
63,—,New Caledonia,31100,2015est.
64,—,Guam,30500,2013est.
65,45,Portugal,30300,2017est.
66,46,Poland,29300,2017est.
67,—,Turks and Caicos Islands,29100,2007est.
68,47,Seychelles,28900,2017est.
69,48,Hungary,28900,2017est.
70,49,Malaysia,28900,2017est.
71,50,Russia,27900,2017est.
72,51,Greece,27800,2017est.
73,52,Latvia,27300,2017est.
74,53,Saint Kitts and Nevis,26800,2017est.
75,54,Turkey,26500,2017est.
76,55,Antigua and Barbuda,26300,2017est.
77,56,Kazakhstan,26100,2017est.
78,—,Aruba,25300,2011est.
79,57,The Bahamas,25100,2017est.
80,58,Chile,24600,2017est.
81,59,Panama,24300,2017est.
82,60,Croatia,24100,2017est.
83,61,Romania,24000,2017est.
84,62,Uruguay,22400,2017est.
85,63,Bulgaria,21600,2017est.
86,64,Mauritius,21600,2017est.
87,65,Argentina,20700,2017est.
88,66,Iran,20000,2017est.
89,67,Mexico,19500,2017est.
90,68,Lebanon,19500,2017est.
91,69,Gabon,19300,2017est.
92,—,Saint Martin,19300,2005est.
93,70,Maldives,19200,2017est.
94,71,Turkmenistan,18700,2017est.
95,72,Belarus,18600,2017est.
96,73,Botswana,18100,2017est.
97,74,Thailand,17800,2017est.
98,75,Barbados,17500,2017est.
99,76,Azerbaijan,17400,2017est.
100,77,Montenegro,17400,2017est.
101,78,Costa Rica,17200,2017est.
102,79,Iraq,17000,2017est.
103,—,French Polynesia,17000,2015est.
104,80,Dominican Republic,17000,2017est.
105,81,Palau,16700,2017est.
106,82,China,16600,2017est.
107,83,Brazil,15500,2017est.
108,84,Serbia,15200,2017est.
109,85,North Macedonia,15200,2017est.
110,86,Algeria,15100,2017est.
111,—,Curaçao,15000,2004est.
112,87,Grenada,14700,2017est.
113,88,Colombia,14500,2017est.
114,89,Suriname,13900,2017est.
115,90,Saint Lucia,13500,2017est.
116,91,South Africa,13400,2017est.
117,—,Northern Mariana Islands,13300,2013est.
118,92,Peru,13300,2017est.
119,93,Egypt,13000,2017est.
120,—,American Samoa,13000,2013est.
121,94,Sri Lanka,13000,2017est.
122,95,Mongolia,12600,2017est.
123,96,Jordan,12500,2017est.
124,97,Albania,12500,2017est.
125,98,Indonesia,12400,2017est.
126,99,Venezuela,12400,2017est.
127,—,Cook Islands,12300,2010est.
128,100,Nauru,12200,2017est.
129,—,Anguilla,12200,2008est.
130,101,Dominica,12000,2017est.
131,102,Tunisia,12000,2017est.
132,103,Cuba,11900,2016est.
133,104,Saint Vincent and the Grenadines,11600,2017est.
134,105,Namibia,11500,2017est.
135,106,Bosnia and Herzegovina,11400,2017est.
136,107,Ecuador,11200,2017est.
137,108,Georgia,10600,2017est.
138,—,Kosovo,10400,2017est.
139,109,Fiji,9900,2017est.
140,110,Eswatini,9900,2017est.
141,111,Paraguay,9800,2017est.
142,112,Libya,9800,2017est.
143,113,Jamaica,9200,2017est.
144,114,Armenia,9100,2017est.
145,115,El Salvador,8900,2017est.
146,116,Ukraine,8700,2017est.
147,117,Bhutan,8700,2017est.
148,118,Morocco,8600,2017est.
149,—,Montserrat,8500,2006est.
150,119,Guyana,8300,2017est.
151,120,Belize,8300,2017est.
152,121,Guatemala,8200,2017est.
153,122,Philippines,8200,2017est.
154,—,Saint Helena Ascensionand Tristan da Cunha,7800,2010est.
155,123,Bolivia,7500,2017est.
156,124,Laos,7400,2017est.
157,125,India,7200,2017est.
158,126,Uzbekistan,7000,2017est.
159,127,Vietnam,6900,2017est.
160,128,Cape Verde,6900,2017est.
161,129,Angola,6800,2017est.
162,130,Republic of the Congo,6700,2017est.
163,131,Myanmar,6300,2017est.
164,132,Nigeria,5900,2017est.
165,133,Nicaragua,5800,2015est.
166,—,Niue,5800,2003est.
167,134,Moldova,5700,2017est.
168,135,Samoa,5700,2017est.
169,136,Tonga,5600,2017est.
170,137,Honduras,5500,2017est.
171,138,Pakistan,5400,2017est.
172,139,Timor-Leste,5000,2017est.
173,140,Ghana,4600,2017est.
174,141,Sudan,4600,2017est.
175,142,Mauritania,4500,2017est.
176,—,West Bank,4300,2014est.
177,143,Bangladesh,4200,2017est.
178,144,Cambodia,4000,2017est.
179,145,Zambia,4000,2017est.
180,146,Lesotho,3900,2017est.
181,147,Côte d'Ivoire,3900,2017est.
182,148,Tuvalu,3800,2017est.
183,149,Papua New Guinea,3800,2017est.
184,—,Wallis and Futuna,3800,2004est.
185,150,Kyrgyzstan,3700,2017est.
186,151,Djibouti,3600,2017est.
187,152,Kenya,3500,2017est.
188,153,Cameroon,3400,2017est.
189,154,Marshall Islands,3400,2017est.
190,155,Federated States of Micronesia,3400,2017est.
191,156,Tanzania,3300,2017est.
192,157,São Tomé and Príncipe,3200,2017est.
193,158,Tajikistan,3100,2017est.
194,159,Syria,2900,2015est.
195,160,Vanuatu,2800,2017est.
196,161,Nepal,2700,2017est.
197,162,Senegal,2700,2017est.
198,—,Western Sahara,2500,2007est.
199,163,Chad,2400,2017est.
200,164,Uganda,2400,2017est.
201,165,Zimbabwe,2300,2017est.
202,166,Yemen,2300,2017est.
203,167,Mali,2200,2017est.
204,168,Benin,2200,2017est.
205,169,Rwanda,2100,2017est.
206,170,Ethiopia,2100,2017est.
207,171,Solomon Islands,2100,2017est.
208,172,Guinea,2000,2017est.
209,173,Burkina Faso,1900,2017est.
210,174,Kiribati,1900,2017est.
211,175,Afghanistan,1900,2017est.
212,176,Sierra Leone,1800,2017est.
213,177,Guinea-Bissau,1800,2017est.
214,178,Haiti,1800,2017est.
215,179,North Korea,1700,2015est.
216,180,The Gambia,1700,2017est.
217,181,Togo,1600,2017est.
218,182,Madagascar,1600,2017est.
219,183,Comoros,1600,2017est.
220,184,South Sudan,1500,2017est.
221,185,Eritrea,1400,2017est.
222,186,Mozambique,1300,2017est.
223,187,Niger,1200,2017est.
224,188,Malawi,1200,2017est.
225,—,Tokelau,1000,1993est.
226,189,Liberia,900,2017est.
227,190,Democratic Republic of the Congo,800,2017est.
228,191,Burundi,800,2017est.
229,192,Central African Republic,700,2017est.
230,193,Somalia,N/A,2017est.
