,Country,Rank,Score,Basic Human Needs,Foundation of Well Being,Opportunity
1,Norway,1,92.73,96.85,93.39,87.95
2,Denmark,2,92.11,96.11,91.58,88.66
3,Finland,3,91.89,96.22,91.29,88.15
4,New Zealand,4,91.64,97.22,92.57,85.13
5,Sweden,5,91.62,96.58,91.03,87.23
6,Switzerland,6,91.42,96.78,91.99,85.49
7,Canada,7,91.4,97.03,90.88,86.31
8,Australia,8,91.29,97.25,91.07,85.55
9,Iceland,9,91.09,98.07,92.81,82.39
10,Netherlands,10,91.06,96.48,91.18,85.53
11,Germany,11,90.56,96.14,89.02,86.53
12,Ireland,12,90.35,96.32,90.03,84.7
13,Japan,13,90.14,97.78,92.15,80.5
14,Luxembourg,14,89.56,95.72,91.84,81.13
15,Austria,15,89.5,96.03,91.84,80.63
16,Belgium,16,89.46,94.01,89.3,85.07
17,South Korea,17,89.06,96.92,90.12,80.13
18,France,18,88.78,94.48,90.78,81.09
19,Spain,19,88.71,95.27,89.71,81.15
20,United Kingdom,20,88.54,94.36,90.21,81.06
21,Portugal,21,87.79,95.69,88.12,79.57
22,Slovenia,22,87.71,95.62,88.85,78.64
23,Italy,23,87.36,93.19,88.59,80.3
24,Estonia,24,87.26,93.08,91.5,77.21
25,Czech Republic,25,86.69,95.45,86.79,77.83
26,Cyprus,26,86.64,93.4,89.66,76.84
27,Greece,27,85.78,93.78,85.11,78.46
28,United States,28,85.71,92.08,83.14,81.89
29,Singapore,29,85.46,97.66,86.13,72.58
30,Malta,30,84.89,93.25,87.98,73.43
31,Poland,31,84.32,94.44,83.67,74.86
32,Lithuania,32,83.97,90.83,83.77,77.3
33,Israel,33,83.62,93.43,85.53,71.89
34,Chile,34,83.34,90.79,81.87,77.35
35,Latvia,35,83.19,90.74,83.83,74.99
36,Slovakia,36,83.15,93.88,82.98,72.58
37,Costa Rica,37,83.01,89.88,84.62,74.51
38,Uruguay,38,82.99,88.64,82.59,77.74
39,Croatia,39,81.92,91.29,84.79,69.69
40,Hungary,40,81.02,92.1,80.76,70.19
41,Argentina,41,80.66,87.73,80.05,74.2
42,Barbados,42,80.5,87.25,80.08,74.16
43,Bulgaria,43,79.86,90.88,78.19,70.51
44,Mauritius,44,78.96,90.9,76.52,69.47
45,Romania,45,78.35,89.46,78.04,67.54
46,Kuwait,46,77.47,90.41,81.67,60.33
47,Belarus,47,77,89.8,76.83,64.38
48,Sri Lanka,48,76.96,88.77,80.52,61.59
49,Panama,49,76.55,86,79.83,63.82
50,Armenia,50,76.46,87.91,78.22,63.24
51,Trinidad,51,76.33,82.32,78.18,68.48
52,Serbia,52,75.54,87.53,75.19,63.9
53,Ecuador,53,75.45,84.35,79.45,62.55
54,Albania,54,75.41,86.92,82.71,56.6
55,Tunisia,55,75.02,85.56,71.29,68.19
56,Georgia,56,74.85,83.79,77.14,63.64
57,Jamaica,57,74.75,79.34,74.44,70.47
58,Montenegro,58,74.42,86.18,77.96,59.12
59,Peru,59,74.22,82.46,78.5,61.69
60,Colombia,60,74,83.31,80.09,58.59
61,Brazil,61,73.91,82.69,76.59,62.46
62,Mexico,62,73.52,82.54,74.67,63.36
63,Ukraine,63,73.38,83.36,71.97,64.79
64,Malaysia,64,73.2,81.89,80.33,57.39
65,Republic of North Macedonia,65,73.16,88.15,75.06,56.25
66,Bosnia and Herzegovina,66,72.74,86.41,74.08,57.72
67,Kazakhstan,67,72.66,85.6,76.13,56.24
68,Moldova,68,72.58,83.32,75.42,59.02
69,Russia,69,72.56,84.05,74.18,59.44
70,Paraguay,70,72.48,83.87,75.5,58.09
71,Cabo Verde,71,72.05,80.15,70.69,65.31
72,Cuba,72,71.52,86.2,71.86,56.51
73,Jordan,73,71.5,89.35,69.61,55.54
74,Oman,74,71.41,87.38,72.33,54.52
75,Suriname,75,71.12,82.82,69.06,61.48
76,Mongolia,76,71.07,77.42,71.27,64.52
77,Dominican Republic,77,71.05,78.69,74.99,59.48
78,Maldives,78,70.81,86.4,74.65,51.38
79,Thailand,79,70.72,80.89,75.44,55.83
80,United Arab Emirates,80,70.6,86.8,71.63,53.38
81,Qatar,81,70.58,90.4,72.1,49.23
82,South Africa,82,70.26,73.35,69.28,68.14
83,Algeria,83,69.92,87.69,66.05,56.02
84,Indonesia,84,69.49,79.79,68.76,59.92
85,Lebanon,85,69.37,84.32,67.14,56.63
86,Botswana,86,69.36,71.48,74.24,62.36
87,Bolivia,87,69.23,82.26,69.2,56.24
88,Vietnam,88,68.85,82.03,72.31,52.23
89,Kyrgyzstan,89,68.65,80.17,72.72,53.04
90,Fiji,90,68.42,80.28,66.33,58.65
91,Bhutan,91,68.34,82.02,65.9,57.09
92,Turkey,92,68.27,85.2,67.47,52.14
93,Iran,93,67.49,85.25,68.86,48.35
94,El Salvador,94,67.25,77.62,68.87,55.26
95,Namibia,95,67.14,67.29,70.92,63.21
96,Guyana,96,66.95,77.1,64.74,58.99
97,Morocco,97,66.9,84.78,64.5,51.43
98,China,98,66.62,70.74,71.24,57.87
99,Bahrain,99,66.6,86.34,69.6,43.86
100,Gabon,100,66.12,82.93,64.79,50.63
101,Saudi Arabia,101,65.06,84.54,67.64,43.02
102,Uzbekistan,102,64.98,80.35,64.65,49.94
103,Ghana,103,64.86,65.19,68.04,61.35
104,Azerbaijan,104,64.11,83.4,67.62,41.32
105,Nicaragua,105,64.02,75.09,72.83,44.13
106,Philippines,106,63.93,73.31,62.78,55.71
107,Iraq,107,63.52,78.06,63.19,49.31
108,Honduras,108,62.41,73.72,66.38,47.12
109,Guatemala,109,61.67,68.32,71.33,45.35
110,Timor-Leste,110,61.08,63.84,66.88,52.53
111,Senegal,111,60.04,66.2,61.17,52.76
112,Egypt,112,59.98,79.41,51.55,48.98
113,Turkmenistan,113,58.35,83.18,59.84,32.05
114,Nepal,114,57.6,67.59,53.43,51.79
115,Kenya,115,57.1,55.97,64.6,50.74
116,Tajikistan,116,56.99,76.81,59.94,34.22
117,India,117,56.8,66.24,50.15,54.01
118,Cambodia,118,56.27,67.27,62.09,39.43
119,Tanzania,119,56.2,56.26,62.91,49.42
120,Myanmar,120,55.99,64.61,59.27,44.1
121,Benin,121,55.56,51.94,60.97,53.77
122,Zambia,122,55.34,56.09,59.94,49.99
123,Bangladesh,123,55.23,64.18,59.75,41.76
124,Gambia The,124,55.1,57.16,55.98,52.15
125,Rwanda,125,54.13,54.52,62.65,45.21
126,Malawi,126,54.07,53.6,59.58,49.02
127,Lesotho,127,53.8,44.33,60.05,57.02
128,Cote D'Ivoire,128,53.59,55.36,61.52,43.89
129,Togo,129,53.05,50.8,60.51,47.84
130,Uganda,130,52.98,53.67,59.2,46.08
131,Swaziland,131,52.92,60.25,59.03,39.48
132,Zimbabwe,132,52.26,51.4,64.48,40.88
133,Laos,133,51.8,62.64,55.18,37.58
134,Sierra Leone,134,51.74,47,58.15,50.07
135,Liberia,135,51.37,47.75,52.42,53.94
136,Nigeria,136,51.31,50.82,57.47,45.64
137,Cameroon,137,51.29,56.31,54.2,43.36
138,Equatorial Guinea,138,50.08,62.97,50.82,36.45
139,North Korea,139,50.01,63.94,52.79,33.3
140,Burkina Faso,140,49.87,47.93,54.74,46.95
141,Pakistan,141,49.25,59.49,46.88,41.39
142,Mozambique,142,49,46.93,56.22,43.85
143,Mauritania,143,48.95,56.63,52.69,37.52
144,Haiti,144,48.79,50.21,54.5,41.65
145,Ethiopia,145,48.59,51.65,53.38,40.74
146,Djibouti,146,48.53,58.14,45.43,42.03
147,Sudan,147,48.51,59.44,50.1,35.99
148,Madagascar,148,48.46,43.54,54.67,47.17
149,Congo Republic of,149,48.45,52.57,56.29,36.48
150,Mali,150,48.29,51.99,51.69,41.19
151,Angola,151,48.16,52.6,52.2,39.69
152,Guinea-Bissau,152,46.69,46.79,47.5,45.79
153,Papua New Guinea,153,44.91,43.16,44.34,47.23
154,Guinea,154,43.41,44.61,52.88,32.76
155,Afghanistan,155,42.29,52.9,39.5,34.47
156,Congo Democratic Republic of,156,42.25,41.3,52.21,33.23
157,Niger,157,42.21,42.2,42.81,41.63
158,Burundi,158,41.2,40.33,50.08,33.21
159,Somalia,159,35.58,36.87,43.98,25.9
160,Eritrea,160,35.2,43.03,38.42,24.16
161,Central African Republic,161,31.62,21.31,38.68,34.85
162,Chad,162,31.29,30.87,37.89,25.1
163,South Sudan,163,31.06,35.74,36.69,20.73
