,1,Norway,0.899,0.957,6.1, 0.021
1,2,Iceland,0.894,0.949,5.8, 0.055
2,3,Switzerland,0.889,0.955,6.9, 0.015
3,4,Finland,0.888,0.938,5.3, 0.040
4,5,Ireland,0.885,0.955,7.3, 0.066
5,6,Denmark,0.883,0.940,6.1, 0.025
6,7,Sweden,0.882,0.945,6.7, 0.033
7,8,Netherlands,0.878,0.944,7.0, 0.036
8,9,Slovenia,0.875,0.917,4.6, 0.047
9,10,Germany,0.869,0.947,8.2, 0.016
10,11,Australia,0.867,0.944,8.2, 0.011
11,12,Czech Republic,0.860,0.900,4.4, 0.042
12,13,Belgium,0.859,0.931,7.7, 0.026
13,14,New Zealand,0.859,0.931,7.7,NA
14,15,Austria,0.857,0.922,7.0, 0.021
15,16,United Kingdom,0.856,0.932,8.2, 0.032
16,17,Canada,0.848,0.929,8.7, 0.025
17,18,Japan,0.843,0.919,8.3, 0.053
18,19,Estonia,0.829,0.882,7.1, 0.051
19,20,Luxembourg,0.826,0.916,9.8, 0.009
20,21,Hong Kong,0.824,0.949,13.2,NA
21,22,Malta,0.823,0.895,8.0, 0.033
22,23,France,0.820,0.901,9.0, 0.022
23,24,South Korea,0.815,0.916,11.0, 0.074
24,25,Israel,0.814,0.919,11.4, 0.031
25,26,Singapore,0.813,0.938,13.3,NA
26,26,Poland,0.813,0.880,7.6, 0.063
27,28,United States,0.808,0.926,12.7, 0.004
28,29,Slovakia,0.807,0.860,6.2, 0.032
29,30,Cyprus,0.805,0.887,9.2, 0.048
30,31,Hungary,0.791,0.854,7.4, 0.032
31,31,Lithuania,0.791,0.882,10.3, 0.055
32,31,Greece,0.791,0.888,10.9, 0.014
33,34,Italy,0.783,0.892,12.2, 0.010
34,34,Latvia,0.783,0.866,9.6, 0.050
35,34,Croatia,0.783,0.851,8.0, 0.092
36,34,Spain,0.783,0.904,13.4, 0.004
37,38,Belarus,0.771,0.823,6.3, 0.050
38,39,Kazakhstan,0.766,0.825,7.2, 0.105
39,40,Portugal,0.761,0.850,12.7, 0.031
40,41,Montenegro,0.749,0.829,9.7, 0.026
41,42,Russia,0.740,0.824,10.2, 0.049
42,43,Romania,0.730,0.828,11.8, 0.022
43,44,Argentina,0.729,0.845,13.7, 0.063
44,45,Ukraine,0.728,0.779,6.4, 0.035
45,46,Bulgaria,0.721,0.816,11.6, 0.022
46,47,Georgia,0.716,0.812,11.8, 0.093
47,48,Uruguay,0.712,0.817,12.7, 0.055
48,49,Chile,0.709,0.851,16.7, 0.058
49,50,Albania,0.708,0.795,10.9, 0.058
50,51,Oman,0.706,0.813,13.2,NA
51,52,Serbia,0.705,0.806,12.5, 0.021
52,53,Armenia,0.699,0.776,9.9, 0.034
53,54,Mauritius,0.694,0.804,13.7, 0.035
54,55,Iran,0.693,0.783,11.5, 0.181
55,56,Azerbaijan,0.684,0.756,9.5, 0.058
56,57,Turkey,0.683,0.820,16.7, 0.119
57,58,North Macedonia,0.681,0.774,12.0, 0.062
58,59,Barbados,0.676,0.814,17.0,NA
59,60,Sri Lanka,0.673,0.782,13.9, 0.048
60,61,Moldova,0.672,0.750,10.4, 0.055
61,62,Seychelles,0.670,0.796,15.8,NA
62,63,Bosnia and Herzegovina,0.667,0.780,14.5, 0.093
63,64,Costa Rica,0.661,0.810,18.4, 0.054
64,65,Thailand,0.646,0.777,16.9, 0.075
65,66,Panama,0.643,0.815,21.1, 0.083
66,67,China,0.639,0.761,16.0, 0.101
67,68,Mongolia,0.634,0.737,14.0, 0.044
68,69,Kyrgyzstan,0.630,0.697,9.6, 0.068
69,70,Saint Lucia,0.629,0.759,17.1, 0.011
70,71,Peru,0.628,0.777,19.2, 0.128
71,72,Jordan,0.622,0.729,14.7, 0.027
72,73,Ecuador,0.616,0.759,18.8, 0.037
73,74,Palestine,0.613,0.708,13.4, 0.001
74,74,Mexico,0.613,0.779,21.3, 0.022
75,76,Jamaica,0.612,0.734,16.6, 0.002
76,77,Algeria,0.596,0.748,20.3,NA
77,78,Tunisia,0.596,0.740,19.5, 0.061
78,79,Colombia,0.595,0.767,23.1, 0.074
79,79,Dominican Republic,0.595,0.756,21.3, 0.063
80,81,Indonesia,0.590,0.718,17.8, 0.043
81,82,Venezuela,0.588,0.711,17.3, 0.009
82,83,Vietnam,0.588,0.704,16.5, 0.035
83,—, World,0.587,0.731,18.6, 0.054
84,84,Philippines,0.587,0.718,18.2, 0.043
85,85,Turkmenistan,0.586,0.715,18.0, 0.095
86,86,Tajikistan,0.584,0.668,12.6, 0.068
87,86,Maldives,0.584,0.740,21.1, 0.005
88,88,Brazil,0.570,0.765,25.5, 0.041
89,89,Paraguay,0.557,0.728,23.5, 0.033
90,90,Guyana,0.556,0.682,18.5, 0.028
91,91,Belize,0.554,0.716,22.6, 0.059
92,92,Bolivia,0.546,0.718,24.0, 0.133
93,93,Gabon,0.544,0.703,22.6, 0.030
94,94,Iraq,0.541,0.674,19.7, 0.034
95,95,Suriname,0.535,0.738,27.5, 0.002
96,96,El Salvador,0.529,0.673,21.4, 0.046
97,97,São Tomé and Príncipe,0.520,0.625,16.8, 0.131
98,98,Kiribati,0.516,0.630,18.1, 0.099
99,99,Nicaragua,0.505,0.660,23.5, 0.036
100,100,Egypt,0.497,0.707,29.7, 0.013
101,101,Guatemala,0.481,0.663,27.5, 0.079
102,102,Bangladesh,0.478,0.632,24.4, 0.085
103,103,Bhutan,0.476,0.654,27.2, 0.002
104,104,India,0.475,0.645,26.4, 0.068
105,104,Cambodia,0.475,0.594,20.0, 0.091
106,106,Honduras,0.472,0.634,25.6, 0.049
107,107,South Africa,0.468,0.709,34.0, 0.011
108,108,Laos,0.461,0.613,24.8, 0.046
109,109,Nepal,0.446,0.602,25.9, 0.080
110,110,Kenya,0.443,0.601,26.3, 0.068
111,111,Zimbabwe,0.441,0.571,22.8, 0.103
112,112,Ghana,0.440,0.611,28.0, 0.018
113,113,Timor-Leste,0.436,0.606,28.1, 0.018
114,114,Eswatini,0.432,0.611,29.3, 0.104
115,115,Rep. of the Congo,0.430,0.574,25.1, 0.085
116,116,Namibia,0.418,0.646,35.3, 0.090
117,117,Zambia,0.401,0.584,31.3, 0.040
118,118,Uganda,0.399,0.544,26.7, 0.061
119,119,Tanzania,0.397,0.528,25.0, 0.053
120,119,Angola,0.397,0.581,31.7, 0.086
121,121,Madagascar,0.390,0.528,26.1, 0.028
122,121,Papua New Guinea,0.390,0.555,29.7,NA
123,123,Rwanda,0.387,0.543,28.7, 0.077
124,124,Pakistan,0.384,0.550,31.1, 0.033
125,125,Lesotho,0.382,0.527,27.5, 0.078
126,126,Cameroon,0.375,0.563,34.1, 0.042
127,127,Mauritania,0.371,0.546,32.1, 0.044
128,128,Togo,0.351,0.515,31.8, 0.039
129,129,Nigeria,0.348,0.539,35.4, 0.067
130,129,Senegal,0.348,0.512,32.0, 0.049
131,129,Ethiopia,0.348,0.485,28.2, 0.071
132,132,Côte d'Ivoire,0.346,0.538,35.7, 0.047
133,133,Malawi,0.345,0.483,28.6, 0.053
134,134,Benin,0.343,0.520,37.1, 0.023
135,135,Dem. Rep. of the Congo,0.335,0.480,31, 0.057
136,135,Gambia,0.335,0.496,33.5, 0.055
137,137,Sudan,0.333,0.510,34.7,NA
138,138,Liberia,0.325,0.480,32.3, 0.040
139,139,Yemen,0.321,0.470,31.7, 0.012
140,140,Mozambique,0.316,0.456,30.7, 0.097
141,140,Burkina Faso,0.316,0.452,30.1, 0.071
142,142,Guinea,0.313,0.477,34.4, 0.057
143,143,Haiti,0.303,0.510,40.6, 0.024
144,143,Burundi,0.303,0.433,30.0, 0.044
145,143,Comoros,0.303,0.554,45.3, 0.010
146,146,Guinea-Bissau,0.300,0.480,37.5, 0.049
147,147,Sierra Leone,0.291,0.452,35.6, 0.049
148,148,Mali,0.289,0.434,33.4, 0.037
149,149,Niger,0.284,0.394,27.9, 0.065
150,150,South Sudan,0.276,0.433,36.3,NA
151,151,Chad,0.248,0.398,37.7, 0.024
152,152,Central African Republic,0.232,0.397,41.6, 0.020
