,1,Denmark,7.526, -0.401,NaN
1,2,Switzerland,7.509, 0.035,NaN
2,3,Iceland,7.501, 0.000,NaN
3,4,Norway,7.498, 0.082,NaN
4,5,Finland,7.413, -0.259,NaN
5,6,Canada,7.404, -0.041,NaN
6,7,Netherlands,7.339, -0.119,NaN
7,8,New Zealand,7.334, -0.097,NaN
8,9,Australia,7.313, 0.002,NaN
9,10,Sweden,7.291, -0.017,NaN
10,11,Israel,7.267, 0.258,NaN
11,12,Austria,7.119, -0.003,NaN
12,13,United States,7.104, -0.261,NaN
13,14,Costa Rica,7.087, -0.171,NaN
14,15,Puerto Rico,7.039, 0.446,NaN
15,16,Germany,6.994, 0.486,NaN
16,17,Brazil,6.952, 0.474,NaN
17,18,Belgium,6.929, -0.311,NaN
18,19,Ireland,6.907, -0.238,NaN
19,20,Luxembourg,6.871, 0.000,NaN
20,21,Mexico,6.778, 0.225,NaN
21,22,Singapore,6.739, 0.099,NaN
22,23,United Kingdom,6.725, -0.161,NaN
23,24,Chile,6.705, 0.826,NaN
24,25,Panama,6.701, 0.191,NaN
25,26,Argentina,6.650, 0.457,NaN
26,27,Czech Republic,6.596, 0.126,NaN
27,28,United Arab Emirates,6.573, -0.161,NaN
28,29,Uruguay,6.545, 0.804,NaN
29,30,Malta,6.488, 0.000,NaN
30,31,Colombia,6.481, 0.399,NaN
31,32,France,6.478, -0.336,NaN
32,33,Thailand,6.474, 0.631,NaN
33,34,Saudi Arabia,6.379, -0.794,NaN
34,35,Taiwan,6.379, 0.190,NaN
35,36,Qatar,6.375, 0.000,NaN
36,37,Spain,6.361, -0.711,NaN
37,38,Algeria,6.355, 0.000,NaN
38,39,Guatemala,6.324, 0.211,NaN
39,40,Suriname,6.269, 0.000,NaN
40,41,Kuwait,6.239, 0.164,NaN
41,42,Bahrain,6.218, 0.000,NaN
42,43,Trinidad and Tobago,6.168, 0.336,NaN
43,44,Venezuela,6.084, -0.762,NaN
44,45,Slovakia,6.078, 0.814,NaN
45,46,El Salvador,6.068, 0.572,NaN
46,47,Malaysia,6.005, -0.132,NaN
47,48,Nicaragua,5.992, 1.285,NaN
48,49,Uzbekistan,5.987, 0.755,NaN
49,50,Italy,5.977, -0.735,NaN
50,51,Ecuador,5.976, 0.966,NaN
51,52,Belize,5.956, -0.495,NaN
52,53,Japan,5.921, -0.446,NaN
53,54,Kazakhstan,5.919, 0.322,NaN
54,55,Moldova,5.897, 0.959,NaN
55,56,Russia,5.856, 0.738,NaN
56,57,Poland,5.835, 0.098,NaN
57,58,South Korea,5.835, 0.295,NaN
58,59,Bolivia,5.822, 0.322,NaN
59,60,Lithuania,5.813, -0.069,NaN
60,61,Belarus,5.802, 0.165,NaN
61,62,Northern Cyprus,5.771, 0.000,NaN
62,63,Slovenia,5.768, -0.044,NaN
63,64,Peru,5.743, 0.730,NaN
64,65,Turkmenistan,5.658, 0.000,NaN
65,66,Mauritius,5.648, 0.000,NaN
66,67,Libya,5.615, 0.000,NaN
67,68,Latvia,5.560, 0.872,NaN
68,69,Cyprus,5.546, -0.692,NaN
69,70,Paraguay,5.538, 0.536,NaN
70,71,Romania,5.528, 0.310,NaN
71,72,Estonia,5.517, 0.165,NaN
72,73,Jamaica,5.510, -0.698,NaN
73,74,Croatia,5.488, -0.333,NaN
74,75,Hong Kong,5.458, -0.053,NaN
75,76,Somalia,5.440, 0.000,NaN
76,77, Kosovo,5.401, 0.298,NaN
77,78,Turkey,5.389, 0.216,NaN
78,79,Indonesia,5.314, 0.295,NaN
79,80,Jordan,5.303, -0.638,NaN
80,81,Azerbaijan,5.291, 0.642,NaN
81,82,Philippines,5.279, 0.425,NaN
82,83,People's Republic of China,5.245, 0.525,NaN
83,84,Bhutan,5.196, 0.000,NaN
84,85,Kyrgyzstan,5.185, 0.515,NaN
85,86,Serbia,5.177, 0.426,NaN
86,87,Bosnia and Herzegovina,5.163, 0.263,NaN
87,88,Montenegro,5.161, -0.035,NaN
88,89,Dominican Republic,5.155, 0.070,NaN
89,90,Morocco,5.151, 0.000,NaN
90,91,Hungary,5.145, 0.070,NaN
91,92,Pakistan,5.132, -0.374,NaN
92,93,Lebanon,5.129, 0.059,NaN
93,94,Portugal,5.123, -0.282,NaN
94,95,North Macedonia,5.121, 0.627,NaN
95,96,Vietnam,5.061, -0.299,NaN
96,97, Somaliland region,5.057, 0.000,NaN
97,98,Tunisia,5.045, 0.000,NaN
98,99,Greece,5.033, -1.294,NaN
99,100,Tajikistan,4.996, 0.474,NaN
100,101,Mongolia,4.907, 0.298,NaN
101,102,Laos,4.876, -0.344,NaN
102,103,Nigeria,4.875, 0.075,NaN
103,104,Honduras,4.871, -0.375,NaN
104,105,Iran,4.813, -0.507,NaN
105,106,Zambia,4.795, 0.381,NaN
106,107,Nepal,4.793, 0.135,NaN
107,108, Palestinian Territories,4.754, 0.321,NaN
108,109,Albania,4.655, 0.021,NaN
109,110,Bangladesh,4.643, 0.170,NaN
110,111,Sierra Leone,4.635, 1.028,NaN
111,112,Iraq,4.575, 0.000,NaN
112,113,Namibia,4.574, -0.312,NaN
113,114,Cameroon,4.513, 0.413,NaN
114,115,Ethiopia,4.508, 0.000,NaN
115,116,South Africa,4.459, -0.686,NaN
116,117,Sri Lanka,4.415, 0.037,NaN
117,118,India,4.404, -0.750,NaN
118,119,Myanmar,4.395, 0.000,NaN
119,120,Egypt,4.362, -0.996,NaN
120,121,Armenia,4.360, -0.226,NaN
121,122,Kenya,4.356, -0.044,NaN
122,123,Ukraine,4.324, -0.701,NaN
123,124,Ghana,4.276, -0.600,NaN
124,125,Republic of the Congo,4.272, 0.000,NaN
125,126,Georgia,4.252, 0.561,NaN
126,127,Democratic Republic of the Congo,4.236, 0.000,NaN
127,128,Senegal,4.219, -0.328,NaN
128,129,Bulgaria,4.217, 0.373,NaN
129,130,Mauritania,4.201, 0.052,NaN
130,131,Zimbabwe,4.193, 0.639,NaN
131,132,Malawi,4.156, -0.205,NaN
132,133,Sudan,4.139, 0.000,NaN
133,134,Gabon,4.121, 0.000,NaN
134,135,Mali,4.073, 0.059,NaN
135,136,Haiti,4.028, 0.274,NaN
136,137,Botswana,3.974, -0.765,NaN
137,138,Comoros,3.956, 0.000,NaN
138,139,Ivory Coast,3.916, 0.000,NaN
139,140,Cambodia,3.907, 0.045,NaN
140,141,Angola,3.866, 0.000,NaN
141,142,Niger,3.856, -0.144,NaN
142,143,South Sudan,3.832, 0.000,NaN
143,144,Chad,3.763, -0.025,NaN
144,145,Burkina Faso,3.739, -0.170,NaN
145,146,Uganda,3.739, -0.356,NaN
146,147,Yemen,3.724, -0.754,NaN
147,148,Madagascar,3.695, -0.285,NaN
148,149,Tanzania,3.666, -0.460,NaN
149,150,Liberia,3.622, -0.080,NaN
150,151,Guinea,3.607, 0.000,NaN
151,152,Rwanda,3.515, -0.700,NaN
152,153,Benin,3.484, 0.154,NaN
153,154,Afghanistan,3.360, 0.000,NaN
154,155,Togo,3.303, 0.100,NaN
155,156,Syria,3.069, 0.000,NaN
156,157,Burundi,2.905, 0.000,NaN
